species,file,row_index,common_name,collection,author,duration_s,n_clips,fold
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0050.wav,50,Black-bellied Whistling-Duck,XC,Manuel Grosselet,200.726,40,0
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0051.wav,51,Black-bellied Whistling-Duck,XC,Manuel Grosselet,6.418,1,1
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0052.wav,52,Black-bellied Whistling-Duck,XC,Manuel Grosselet,6.558,1,2
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0053.wav,53,Black-bellied Whistling-Duck,iNat,Sarah,17.094,3,3
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0054.wav,54,Black-bellied Whistling-Duck,XC,Mario Reyes Jr,15.05,3,4
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0055.wav,55,Black-bellied Whistling-Duck,iNat,Unknown,9.982,1,0
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0056.wav,56,Black-bellied Whistling-Duck,iNat,Jana Miller,9.814,1,1
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0057.wav,57,Black-bellied Whistling-Duck,XC,JAYRSON ARAUJO DE OLIVEIRA,3.566,1,2
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0058.wav,58,Black-bellied Whistling-Duck,iNat,Unknown,3.264,1,3
bbwduc,/scratch/pdoshi/audio_comp/birdclef_audio/bbwduc_0059.wav,59,Black-bellied Whistling-Duck,XC,JAYRSON ARAUJO DE OLIVEIRA,5.436,1,4
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0060.wav,60,Yellow-throated Toucan,XC,GABRIEL LEITE,16.046,3,0
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0061.wav,61,Yellow-throated Toucan,XC,Thore Noernberg,18.63,3,1
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0062.wav,62,Yellow-throated Toucan,XC,Victor Vanegas,18.94,3,2
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0063.wav,63,Yellow-throated Toucan,XC,Mauricio Cuellar Ramirez (@Birding.travel),39.55,7,3
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0064.wav,64,Yellow-throated Toucan,XC,Guillermo Funes,56.854,11,4
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0065.wav,65,Yellow-throated Toucan,XC,Will Sweet,12.802,2,0
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0066.wav,66,Yellow-throated Toucan,XC,Niels Krabbe,57.906,11,1
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0067.wav,67,Yellow-throated Toucan,iNat,Unknown,10.194,2,2
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0068.wav,68,Yellow-throated Toucan,XC,Steve Hampton,29.642,5,3
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0069.wav,69,Yellow-throated Toucan,iNat,Luis Salagaje,31.464,6,4
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0070.wav,70,Yellow-throated Toucan,XC,Sue Riffe,15.414,3,0
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0071.wav,71,Yellow-throated Toucan,XC,Brayan Coral Jaramillo,49.378,9,1
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0072.wav,72,Yellow-throated Toucan,XC,Carlos Delgado JUMABITA,46.546,9,2
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0073.wav,73,Yellow-throated Toucan,XC,Scott Olmstead,183.638,36,3
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0074.wav,74,Yellow-throated Toucan,XC,Vivek M,25.702,5,4
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0075.wav,75,Yellow-throated Toucan,XC,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),244.978,48,0
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0076.wav,76,Yellow-throated Toucan,XC,GABRIEL LEITE,34.046,6,1
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0077.wav,77,Yellow-throated Toucan,XC,Diego Calderon-F.,25.262,5,2
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0078.wav,78,Yellow-throated Toucan,iNat,Unknown,10.868,2,3
bkmtou1,/scratch/pdoshi/audio_comp/birdclef_audio/bkmtou1_0079.wav,79,Yellow-throated Toucan,XC,Patricio Mena Valenzuela,82.706,16,4
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0080.wav,80,Blue-black Grassquit,XC,Blas Fandiño,38.238,7,0
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0081.wav,81,Blue-black Grassquit,XC,JAYRSON ARAUJO DE OLIVEIRA,29.546,5,1
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0082.wav,82,Blue-black Grassquit,XC,Mauricio Cuellar Ramirez (@Birding.travel),4.986,1,2
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0083.wav,83,Blue-black Grassquit,XC,Alfonso Auerbach,26.828,5,3
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0084.wav,84,Blue-black Grassquit,iNat,Alvaro Rojas (brújula de aves),7.2,1,4
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0085.wav,85,Blue-black Grassquit,iNat,pozaricaalnatural,179.542,35,0
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0086.wav,86,Blue-black Grassquit,XC,Cristian Rodas,10.246,2,1
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0087.wav,87,Blue-black Grassquit,XC,Nicole Alfaro Ponce,44.672,8,2
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0088.wav,88,Blue-black Grassquit,iNat,Ilse Huertas R.,42.97,8,3
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0089.wav,89,Blue-black Grassquit,XC,Mauricio Cuellar Ramirez (@Birding.travel),14.41,2,4
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0090.wav,90,Blue-black Grassquit,XC,Hans Groot,27.074,5,0
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0091.wav,91,Blue-black Grassquit,XC,JAYRSON ARAUJO DE OLIVEIRA,28.654,5,1
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0092.wav,92,Blue-black Grassquit,XC,Danny Zapata-Henao,27.278,5,2
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0093.wav,93,Blue-black Grassquit,XC,Mauricio Álvarez-Rebolledo,21.892,4,3
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0094.wav,94,Blue-black Grassquit,XC,Manuel Grosselet,36.762,7,4
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0095.wav,95,Blue-black Grassquit,XC,Dante Buzzetti,24.546,4,0
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0096.wav,96,Blue-black Grassquit,XC,Pedro Rinaldi,14.634,2,1
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0097.wav,97,Blue-black Grassquit,XC,JAYRSON ARAUJO DE OLIVEIRA,4.86,1,2
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0098.wav,98,Blue-black Grassquit,XC,András Schmidt,41.158,8,3
blbgra1,/scratch/pdoshi/audio_comp/birdclef_audio/blbgra1_0099.wav,99,Blue-black Grassquit,iNat,Arturo Benavides-Mendoza,7.504,1,4
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0100.wav,100,Blue-headed Parrot,XC,yntze van der hoek,21.634,4,0
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0101.wav,101,Blue-headed Parrot,XC,Patricio Mena Valenzuela,19.426,3,1
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0102.wav,102,Blue-headed Parrot,XC,Bobby Wilcox,75.354,15,2
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0103.wav,103,Blue-headed Parrot,XC,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),22.59,4,3
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0104.wav,104,Blue-headed Parrot,XC,Bobby Wilcox,15.294,3,4
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0105.wav,105,Blue-headed Parrot,iNat,Rosabel Miro,13.17,2,0
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0106.wav,106,Blue-headed Parrot,XC,Dante Buzzetti,26.054,5,1
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0107.wav,107,Blue-headed Parrot,XC,Sidnei Dantas,56.014,11,2
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0108.wav,108,Blue-headed Parrot,XC,Niels Krabbe,22.51,4,3
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0109.wav,109,Blue-headed Parrot,XC,Guy Kirwan,15.506,3,4
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0110.wav,110,Blue-headed Parrot,XC,Niels Krabbe,16.014,3,0
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0111.wav,111,Blue-headed Parrot,XC,Fernando Igor de Godoy,13.142,2,1
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0112.wav,112,Blue-headed Parrot,XC,JAYRSON ARAUJO DE OLIVEIRA,16.418,3,2
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0113.wav,113,Blue-headed Parrot,XC,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),29.024,5,3
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0114.wav,114,Blue-headed Parrot,XC,Mauricio Álvarez-Rebolledo (Colección de Sonidos Ambientales - Instituto Humboldt),24.834,4,4
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0115.wav,115,Blue-headed Parrot,XC,Dante Buzzetti,4.442,1,0
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0116.wav,116,Blue-headed Parrot,XC,Bernabe Lopez-Lanus,23.046,4,1
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0117.wav,117,Blue-headed Parrot,XC,Daniel Blamires,11.494,2,2
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0118.wav,118,Blue-headed Parrot,iNat,Sam Darmstadt,18.086,3,3
blhpar1,/scratch/pdoshi/audio_comp/birdclef_audio/blhpar1_0119.wav,119,Blue-headed Parrot,XC,Brice de la Croix,55.898,11,4
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0120.wav,120,Boat-billed Flycatcher,iNat,Alex Bentley,14.03,2,0
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0121.wav,121,Boat-billed Flycatcher,XC,Mauricio Cuellar Ramirez (@Birding.travel),3.742,1,1
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0122.wav,122,Boat-billed Flycatcher,XC,Oscar Humberto Marin-Gomez,104.826,20,2
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0123.wav,123,Boat-billed Flycatcher,iNat,Alejandro Luy,31.362,6,3
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0124.wav,124,Boat-billed Flycatcher,XC,Fernando Igor de Godoy,52.566,10,4
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0125.wav,125,Boat-billed Flycatcher,XC,Niels Krabbe,56.946,11,0
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0126.wav,126,Boat-billed Flycatcher,XC,Nick Komar,31.478,6,1
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0127.wav,127,Boat-billed Flycatcher,XC,Andres Angulo ,5.43,1,2
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0128.wav,128,Boat-billed Flycatcher,XC,Iván Lau,21.656,4,3
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0129.wav,129,Boat-billed Flycatcher,iNat,Unknown,18.112,3,4
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0130.wav,130,Boat-billed Flycatcher,XC,John V. Moore,36.918,7,0
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0131.wav,131,Boat-billed Flycatcher,iNat,William Hull,9.746,1,1
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0132.wav,132,Boat-billed Flycatcher,iNat,Rodríguez Viky,48.532,9,2
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0133.wav,133,Boat-billed Flycatcher,iNat,Unknown,4.622,1,3
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0134.wav,134,Boat-billed Flycatcher,XC,JAYRSON ARAUJO DE OLIVEIRA,14.082,2,4
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0135.wav,135,Boat-billed Flycatcher,XC,Melvin Bonilla,16.51,3,0
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0136.wav,136,Boat-billed Flycatcher,XC,Jacob C. Cooper,20.074,4,1
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0137.wav,137,Boat-billed Flycatcher,XC,Alán Palacios,27.282,5,2
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0138.wav,138,Boat-billed Flycatcher,iNat,Giovanna Roque de Castro,18.6,3,3
bobfly1,/scratch/pdoshi/audio_comp/birdclef_audio/bobfly1_0139.wav,139,Boat-billed Flycatcher,XC,Fernando Igor de Godoy,23.294,4,4
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0140.wav,140,Buff-breasted Wren,XC,Andres Angulo ,46.878,9,0
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0141.wav,141,Buff-breasted Wren,XC,Rolf A. de By,85.774,17,1
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0142.wav,142,Buff-breasted Wren,XC,Oscar Humberto Marín Gómez &amp; Juan Pablo López,95.69,19,2
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0143.wav,143,Buff-breasted Wren,XC,Daniel Cadena (Colección de Sonidos Ambientales - Instituto Humboldt),119.946,23,3
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0144.wav,144,Buff-breasted Wren,XC,Sergio Chaparro Herrera,20.374,4,4
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0145.wav,145,Buff-breasted Wren,iNat,Laurent Quéno,5.946,1,0
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0146.wav,146,Buff-breasted Wren,iNat,Unknown,27.538,5,1
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0147.wav,147,Buff-breasted Wren,XC,Albert Lastukhin,10.774,2,2
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0148.wav,148,Buff-breasted Wren,XC,Bernabe Lopez-Lanus,5.806,1,3
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0149.wav,149,Buff-breasted Wren,XC,John V. Moore,39.594,7,4
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0150.wav,150,Buff-breasted Wren,XC,Bernabe Lopez-Lanus,13.558,2,0
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0151.wav,151,Buff-breasted Wren,XC,Marc Thibault,9.526,1,1
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0152.wav,152,Buff-breasted Wren,XC,JAYRSON ARAUJO DE OLIVEIRA,8.738,1,2
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0153.wav,153,Buff-breasted Wren,XC,Andres Angulo ,44.454,8,3
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0154.wav,154,Buff-breasted Wren,XC,Jeremy Minns,6.034,1,4
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0155.wav,155,Buff-breasted Wren,XC,JAYRSON ARAUJO DE OLIVEIRA,71.434,14,0
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0156.wav,156,Buff-breasted Wren,XC,Paula Caycedo,18.442,3,1
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0157.wav,157,Buff-breasted Wren,XC,Oscar Humberto Marín Gómez &amp; Juan Pablo López,38.934,7,2
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0158.wav,158,Buff-breasted Wren,XC,JAYRSON ARAUJO DE OLIVEIRA,4.704,1,3
bubwre1,/scratch/pdoshi/audio_comp/birdclef_audio/bubwre1_0159.wav,159,Buff-breasted Wren,XC,Oscar Humberto Marín Gómez &amp; Juan Pablo López,11.626,2,4
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0160.wav,160,Blue-gray Tanager,iNat,Pablo González,10.776,2,0
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0161.wav,161,Blue-gray Tanager,iNat,itzel ivon Rodriguez,27.334,5,1
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0162.wav,162,Blue-gray Tanager,XC,Sander Bot,6.166,1,2
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0163.wav,163,Blue-gray Tanager,XC,Andy Birch,5.894,1,3
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0164.wav,164,Blue-gray Tanager,iNat,Cristopher Rodríguez-Moreira,10.678,2,4
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0165.wav,165,Blue-gray Tanager,XC,Leonardo Ordóñez-Delgado,70.094,14,0
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0166.wav,166,Blue-gray Tanager,XC,John V. Moore,35.286,7,1
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0167.wav,167,Blue-gray Tanager,XC,Wim Jacobs,29.964,5,2
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0168.wav,168,Blue-gray Tanager,XC,Cristopher Rodriguez-Moreira,14.87,2,3
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0169.wav,169,Blue-gray Tanager,XC,JAYRSON ARAUJO DE OLIVEIRA,46.114,9,4
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0170.wav,170,Blue-gray Tanager,XC,Galo Buitrón-Jurado,7.11,1,0
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0171.wav,171,Blue-gray Tanager,XC,Jerome Fischer,9.126,1,1
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0172.wav,172,Blue-gray Tanager,XC,Leonardo Ordóñez-Delgado,155.882,31,2
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0173.wav,173,Blue-gray Tanager,XC,Oscar Humberto Marín Gómez,47.154,9,3
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0174.wav,174,Blue-gray Tanager,iNat,sshe,26.246,5,4
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0175.wav,175,Blue-gray Tanager,XC,Jerome Fischer,1.438,1,0
bugtan,/scratch/pdoshi/audio_comp/birdclef_audio/bugtan_0176.wav,176,Blue-gray Tanager,iNat,Osmara Pinzón,11.392,2,1
