vessel_class,file,record_id,duration_s,n_clips,fold,vessel_name,date,time,range_field,metadata_confidence
passengership,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Passengership/9.wav,9,11.0,1,1,CARNIVAL LEGEND,20160516,112116,1112-1170,exact
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/10.wav,10,30.0,3,0,NAVE ORBIT,20160602,225434,1956-1750,ambiguous_resolved
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/12.wav,12,33.0,3,2,KIRKEHOLMEN,20160612,211030,1605-1421,ambiguous_resolved
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/13.wav,13,157.0,15,2,HIGH ENDURANCE,20160613,061037,988-95,ambiguous_resolved
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/14.wav,14,25.0,2,0,ARGENT SUNRISE,20160615,063659,1073-974,ambiguous_resolved
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/18.wav,18,66.0,6,2,OVERSEAS ATHENS,20160619,215854,1180-802,ambiguous_resolved
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/19.wav,19,14.0,1,2,CARIBBEAN SPIRIT,20160625,141954,1153-1253,ambiguous_resolved
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/2.wav,2,150.0,15,2,CHERRY GALAXY,20160511,030034,950-1560,ambiguous_resolved
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/20.wav,20,104.0,10,1,CHEMICAL AQUARIUS,20160702,225342,1212-1990,ambiguous_resolved
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/21.wav,21,16.0,1,1,HARBOUR FASHION,20170824,194518,1772-1918,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/24.wav,24,21.0,2,2,GULF PEARL,20180119,055857,580-628,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/29.wav,29,109.0,10,1,NORD STEADY,20171008,053342,845-441,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/30.wav,30,33.0,3,1,UACC RAS,20180203,232020,956-1807,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/32.wav,32,38.0,3,0,KIRKEHOLMEN,20160810,215541,822-626,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/33.wav,33,16.0,1,2,REINHOLD SCHULTE,20171023,214849,742-1020,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/35.wav,35,16.0,1,0,KIRKEHOLMEN,20160831,210639,1502-1441,ambiguous_resolved
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/38.wav,38,174.0,17,0,OTTO H,20180314,155725,1929-336,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/39.wav,39,129.0,12,0,NORDISLE,20180314,171300,1922-1522,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/41.wav,41,44.0,4,0,ARDMORE CHEYENNE,20160927,081031,1710-994,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/42.wav,42,70.0,7,0,CHEMBULK NEW,20161002,130331,758-1532,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/43.wav,43,28.0,2,1,KIRKEHOLMEN,20161005,075627,1115-1293,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/47.wav,47,21.0,2,0,CHERRY GALAXY,20161024,061514,380-1822,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/48.wav,48,37.0,3,2,KIRKEHOLMEN,20180413,212814,912-982,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/49.wav,49,38.0,3,1,KIRKEHOLMEN,20161030,043924,869-963,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/5.wav,5,47.0,4,2,LYNDA VICTORY,20160519,123958,1252-1112,ambiguous_resolved
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/50.wav,50,10.0,1,1,OCEAN RELIANCE,20161101,053459,993-806,mismatch
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/6.wav,6,172.0,17,1,CHAMPION EBONY,20160526,193813,418-1052,ambiguous_resolved
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/8.wav,8,44.0,4,1,KIRKEHOLMEN,20160601,142520,769-741,ambiguous_resolved
tanker,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tanker/9.wav,9,18.0,1,2,SONGA RUBY,20160602,203639,1850-1981,ambiguous_resolved
tug,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tug/40.wav,40,200.0,20,0,SEASPAN COMMANDER,20171203,113510,1459-1311,exact
tug,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tug/49.wav,49,190.0,19,2,SEASPAN EAGLE,20171210,132956,1037-1978,exact
tug,/home/pdoshi/audio_comp_external/DeepShip/DeepShip-main/Tug/9.wav,9,203.0,20,1,MILLENNIUMSTAR,20171115,133938,831-10,exact
